City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed
101,cockburn town,0,ar,1531368303,98,21.46,81.9,20.49
102,port hedland,0,za,1531364400,19,-20.31,78.8,13.87
103,longjiang,8,gf,1531368548,98,47.33,78.66,10.42
104,gisborne,64,mw,1531368548,71,-38.66,53.55,14.23
105,bluff,0,ar,1531368548,48,-23.58,71.28,4.38
106,plettenberg bay,36,cn,1531368549,70,-34.05,72.81,15.79
107,santa cruz del sur,56,vu,1531368549,95,20.71,76.95,4.5
108,souillac,0,ar,1531368000,77,45.6,59,4.7
109,haines junction,0,us,1531368549,37,60.75,52.74,5.84
110,kindia,48,bm,1531368549,98,10.05,70.47,2.59
111,camacha,40,gy,1531366200,77,33.08,69.8,14.99
112,taksimo,100,us,1531368550,99,56.36,55.53,1.14
113,boca do acre,44,pt,1531368550,86,-8.76,66.96,2.37
114,vila do maio,20,ca,1531364400,83,15.13,75.2,5.82
115,shenjiamen,56,om,1531368551,93,29.96,81.81,23.29
116,lorengau,76,sh,1531368551,100,-2.02,83.25,11.21
117,santo domingo,40,to,1531364400,88,18.48,78.8,4.7
118,north bend,40,ph,1531367760,87,43.41,59,25.28
119,kodiak,1,us,1531363980,55,39.95,87.8,11.41
120,lebu,92,jp,1531368552,97,8.96,49.77,2.71
121,talnakh,56,br,1531368553,66,69.49,54.72,12.1
122,monroe,1,pt,1531367580,60,41.91,73.4,9.64
123,cape town,75,gf,1531364400,55,-33.93,62.6,24.16
124,oliver,20,pg,1531364400,50,49.18,75.2,6.93
125,emerald,0,br,1531368348,49,-23.53,70.56,4.94
126,champerico,5,ye,1531363200,57,16.38,80.6,10.29
127,morros,0,ke,1531368000,88,-2.87,75.2,6.93
128,bela vista de goias,0,ca,1531364400,72,-16.97,64.4,6.93
129,villa sandino,36,bb,1531368554,78,12.05,79.65,13
130,honiara,75,no,1531368000,79,-9.43,84.2,11.41
131,san patricio,0,mx,1531368555,85,-26.98,43.02,2.15
132,auki,80,mx,1531368555,94,12.18,71.1,6.17
133,saint-joseph,75,mx,1531368000,77,43.56,73.4,3.36
134,new norfolk,20,us,1531364400,66,-42.78,51.8,9.17
135,sokoni,76,es,1531368556,81,-12.89,58.05,7.85
136,pecos,1,no,1531367700,45,31.42,82.4,8.05
137,saskylakh,92,ug,1531368556,95,71.97,50.85,13.22
138,sorong,36,ga,1531368556,100,-0.86,81.36,11.43
139,nichinan,40,au,1531366680,55,31.65,91.4,4.7
140,naze,92,sa,1531368557,97,5.43,72.54,4.05
141,mayskiy,90,om,1531366200,61,43.63,80.6,2.24
142,tres arroyos,0,bo,1531368557,83,-38.38,44.1,14.23
143,saldanha,20,sa,1531368558,90,41.42,59.58,4.61
144,sinnamary,92,ie,1531368558,96,5.38,81.45,10.98
145,machinga,100,ca,1531368558,98,-15.18,59.04,3.94
146,mar del plata,80,ck,1531368558,81,-46.43,42.12,11.77
147,wencheng,80,au,1531368558,89,27.79,77.85,2.71
148,isangel,88,nz,1531368559,97,-19.55,75.87,9.42
149,necochea,0,au,1531368559,90,-38.55,43.11,12.33
150,half moon bay,90,hr,1531366800,93,37.46,84.2,11.41
151,hamilton,20,my,1531364100,88,32.3,80.6,19.46
152,lethem,0,mv,1531368560,98,3.38,71.01,1.7
153,bethel,90,au,1531363980,76,60.79,53.6,14.99
154,praia da vitoria,20,sc,1531364400,77,38.73,69.8,14.79
